"id_shp","geom","id","id_poi","nm_poi","nm_county","type_ret","typecode_r","typecode_s","lon_mars","lat_mars","lon_earth","lat_earth","cityname","sampletime","code_common","code_international","code_huoli","id_shp","nm_village","nm_town","nm_county","nm_busi_in","dis_tam","area"
61975,POINT (116.444443514995 39.8958002546321),5882980,B0FFGKA0KA,链家(富力公馆店),广渠门外大街5号院62号楼1层0107,生活服务;中介机构;中介机构,71600,71600,116.450618,39.897153,116.444443514995,39.8958002546321,北京,"1/3/2021 14:20:05",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61988,POINT (116.446090939535 39.8958356649522),5882993,B0FFL79PRF,董艾医养护馆,双井富力城D区北门17-3,生活服务;洗浴推拿场所;洗浴推拿场所,71400,71400,116.452261,39.897185,116.446090939535,39.8958356649522,北京,"1/3/2021 14:20:04",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
455392,POINT (116.44847836704 39.897407704264),6276401,B0GUJLT79U,富力十号(北2门),天力街19号院,通行设施;临街院门;临街院门,991400,991400,116.454642,39.898752,116.44847836704,39.897407704264,北京,"5/3/2021 14:34:59",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
455403,POINT (116.447642020147 39.8973948927097),6276412,B0HB1LI8E1,富力十号(北1门),天力街19号院,通行设施;临街院门;临街院门,991400,991400,116.453808,39.898741,116.447642020147,39.8973948927097,北京,"5/3/2021 14:34:59",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
455469,POINT (116.447927790627 39.8976224990314),6276478,B0FFGBA50T,停车场(富力城10号地东北),光华北街路侧,交通设施服务;停车场;路边停车场,150906,150900,116.454093,39.898968,116.447927790627,39.8976224990314,北京,"5/3/2021 14:34:36",tcc,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
454710,POINT (116.448005654672 39.8924989003005),6275712,B000A85IV9,广馨居(南1门),广渠门外大街17号,通行设施;临街院门;临街院正门,991401,991400,116.45417,39.893844,116.448005654672,39.8924989003005,北京,"5/3/2021 14:36:19",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
454747,POINT (116.449423485411 39.8939979345034),6275752,B0FFK3KU1P,富力城D区(南门),广渠门外大街5号院,通行设施;临街院门;临街院门,991400,991400,116.455584,39.89534,116.449423485411,39.8939979345034,北京,"5/3/2021 14:36:18",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
455367,POINT (116.449493335028 39.8967809628341),6276373,B0FFFPI86M,富力城10号地(东1门),天力街19号院,通行设施;临街院门;临街院门,991400,991400,116.455654,39.898123,116.449493335028,39.8967809628341,北京,"5/3/2021 14:35:00",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
455368,POINT (116.448577805305 39.8961609774735),6276374,B000ABBS55,富力城10号地(南1门),广渠门外大街33附近,通行设施;临街院门;临街院门,991400,991400,116.454741,39.897505,116.448577805305,39.8961609774735,北京,"5/3/2021 14:35:00",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
491130,POINT (116.448669108529 39.8958061930681),6312143,B0FFHGHY5K,村上一屋(双井店),广渠门外大街五号院13号楼10号,餐饮服务;外国餐厅;日本料理,50202,50200,116.454832,39.89715,116.448669108529,39.8958061930681,北京,"1/3/2021 14:19:40",eat,eat,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61659,POINT (116.448706379318 39.8944953341334),5882664,B0FFHN2BFS,i健康健身私教工作室(双井富力城店),富力城D区7号楼103室,体育休闲服务;运动场馆;健身中心,80111,80100,116.454869,39.895839,116.448706379318,39.8944953341334,北京,"1/3/2021 14:21:40",gym,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
62046,POINT (116.447383506335 39.8957594111376),5883051,B000A85IV6,中国电信(富力城营业厅),广渠门外大街富力城商业16号楼首02号,生活服务;电讯营业厅;中国电信营业厅,70601,70600,116.45355,39.897106,116.447383506335,39.8957594111376,北京,"1/3/2021 14:19:54",tele,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
445046,POINT (116.44804275285 39.892545978473),6266057,B0HB459QJO,建机小区停车场(出入口),无,交通设施服务;停车场;停车场出入口,150909,150900,116.454207,39.893891,116.44804275285,39.892545978473,北京,"5/3/2021 14:53:31",tcc,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
445074,POINT (116.447747559883 39.895451207858),6266085,B0HBY6HN8V,富力城D区地下停车场(出口),广渠门外大街5号院富力城D区地下停车场,交通设施服务;停车场;停车场出口,150908,150900,116.453913,39.896797,116.447747559883,39.895451207858,北京,"5/3/2021 14:53:29",tcc,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
238,POINT (116.448108841547 39.893315086414),5821241,B000A7XNVL,北京市自来水集团(广渠门营业所),广渠门外大街甲17号,生活服务;自来水营业厅;自来水营业厅,70900,70900,116.454273,39.89466,116.448108841547,39.893315086414,北京,"1/3/2021 15:01:12",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
831,POINT (116.446937540232 39.8936235555922),5821833,B0FFK8441C,北京市朝阳区双井街道富力社区卫生服务站,广渠门外大街富力城D区18楼北侧社区综合办公楼一层,医疗保健服务;诊所;诊所,90300,90300,116.453105,39.894971,116.446937540232,39.8936235555922,北京,"1/3/2021 15:01:27",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
52049,POINT (116.447404971981 39.8925386041235),5873052,B0G0717E6F,足部护理,无,生活服务;洗浴推拿场所;洗浴推拿场所,71400,71400,116.453571,39.893885,116.447404971981,39.8925386041235,北京,"1/3/2021 15:01:21",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61658,POINT (116.44864120563 39.8944081955575),5882663,B0G3CG51A5,i健康邻家健身房,无,体育休闲服务;运动场馆;运动场所,80100,80100,116.454804,39.895752,116.44864120563,39.8944081955575,北京,"1/3/2021 14:21:40",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61691,POINT (116.448036539847 39.8940978939373),5882696,B0FFM4ADKQ,高端韩媛T台SPA,广渠门外大街富力城D区12号楼一层,生活服务;洗浴推拿场所;洗浴推拿场所,71400,71400,116.454201,39.895443,116.448036539847,39.8940978939373,北京,"1/3/2021 14:21:36",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61932,POINT (116.446906183415 39.8957673912843),5882937,B0GUFXHSJ2,亿力阳康大药房(双井店),天力街与惠林路交叉路口往东约200米(富力城),医疗保健服务;医药保健销售店;药房,90601,90600,116.453074,39.897115,116.446906183415,39.8957673912843,北京,"1/3/2021 14:20:11",drug,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61962,POINT (116.449036155328 39.8957739994912),5882967,B0FFG7HK1I,中原地产(建木小区东北),双井桥西北侧(国贸桥向南约700米)富力城c区,生活服务;中介机构;中介机构,71600,71600,116.455198,39.897117,116.449036155328,39.8957739994912,北京,"1/3/2021 14:20:06",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61969,POINT (116.448384303216 39.8958065715233),5882974,B0FFG7H7ZI,麦田房产(龙吟半岛店),天力街富力城D区北门,生活服务;中介机构;中介机构,71600,71600,116.454548,39.897151,116.448384303216,39.8958065715233,北京,"1/3/2021 14:20:06",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61984,POINT (116.446809908911 39.8958391833449),5882989,B0FFH9B53O,布瑞琳洗护(富力城D区店),广渠门外大街5号院29号楼富力城D区16-11,生活服务;洗衣店;洗衣店,71500,71500,116.452978,39.897187,116.446809908911,39.8958391833449,北京,"1/3/2021 14:20:05",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
62075,POINT (116.446994427173 39.895766579213),5883080,B0FFIFKU1W,快快智能健身主题店(双井富力城店),广渠门外大街双井富力城5号院29号楼一层商业09室,餐饮服务;咖啡厅;咖啡厅,50500,50500,116.453162,39.897114,116.446994427173,39.895766579213,北京,"1/3/2021 14:19:47",cafe,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
62000,POINT (116.449059165573 39.8962130302416),5883005,B0G3XCF3ZG,THE GLOW cell spa,天力街19号院4号楼05,生活服务;美容美发店;美容美发店,71100,71100,116.455221,39.897556,116.449059165573,39.8962130302416,北京,"1/3/2021 14:20:01",mrmf,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
61963,POINT (116.449057211277 39.8958060443526),5882968,B000A87OMU,美联物业,天力街,生活服务;中介机构;中介机构,71600,71600,116.455219,39.897149,116.449057211277,39.8958060443526,北京,"1/3/2021 14:20:06",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
455377,POINT (116.444001542058 39.8942554257379),6276383,B0FFGCZ4U9,富力山(东1门),广渠门外大街7号院附近,通行设施;临街院门;临街院门,991400,991400,116.450177,39.895609,116.444001542058,39.8942554257379,北京,"5/3/2021 14:35:00",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
455387,POINT (116.444007479829 39.894872409669),6276393,B0FFGCZ4U8,富力城E区(东门),广渠门外大街7号院附近,通行设施;临街院门;临街院正门,991401,991400,116.450183,39.896226,116.444007479829,39.894872409669,北京,"5/3/2021 14:34:59",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
455393,POINT (116.447233984725 39.8966040527673),6276402,B000ABBS57,富力城10号地(西门),天力街与广和东一路交叉口北100米,通行设施;临街院门;临街院门,991400,991400,116.453401,39.897951,116.447233984725,39.8966040527673,北京,"5/3/2021 14:34:59",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
488424,POINT (116.447223467457 39.892543215202),6309433,B0FFGBQ844,图文快印,无,生活服务;摄影冲印店;摄影冲印,71300,71300,116.45339,39.89389,116.447223467457,39.892543215202,北京,"1/3/2021 15:01:19",,,,90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
