"id","geom","heigh","id_shp","nm_village","nm_town","nm_county","nm_busi_in","dis_tam","area"
207746,"MULTIPOLYGON (((116.45442599967797 39.890602826780324, 116.45424305053503 39.890602394031106, 116.454237618837 39.891005717463806, 116.45442594830298 39.89101027858862, 116.45454432730504 39.89101467479814, 116.45454972480998 39.89088298623418, 116.45455514099703 39.890603132852114, 116.45442599967797 39.890602826780324)))","42",639.0,广外南社区,双井街道,朝阳区,劲松,5464.015861979464,0.108659615719795
207755,"MULTIPOLYGON (((116.46021081054003 39.892399073758234, 116.46009240773496 39.892398774420705, 116.45999552269097 39.89248084136159, 116.45999550559895 39.8926166552563, 116.459995504045 39.892629001960756, 116.46030227492402 39.8926297774948, 116.46030227647798 39.89261743079034, 116.46030229356803 39.892481616895715, 116.46021081054003 39.892399073758234)))","42",90602.0,东柏街社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
207771,"MULTIPOLYGON (((116.45811703160598 39.894538020831476, 116.45786409881198 39.89453328057209, 116.45785870224302 39.89465261538523, 116.45811701709297 39.894653253464334, 116.45811702797803 39.89456682900759, 116.45811703160598 39.894538020831476)))","42",90602.0,东柏街社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
207772,"MULTIPOLYGON (((116.46185206210198 39.89469148653704, 116.46185207866597 39.894559792138985, 116.46131385862002 39.89456664264599, 116.46110395565302 39.89456610627593, 116.46110393908502 39.89469780065844, 116.461313842053 39.894698337028416, 116.46185206210198 39.89469148653704)))","42",645.0,九龙南社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
207783,"MULTIPOLYGON (((116.47582137700104 39.89607525546013, 116.47549295034601 39.896074320413426, 116.47548755550596 39.896160727736586, 116.47548755087296 39.89619776597733, 116.47582136207298 39.89619460098009, 116.47582137700104 39.89607525546013)))","42",641.0,大望社区,双井街道,朝阳区,大望路,7198.526203386679,0.352545471326828
207785,"MULTIPOLYGON (((116.47233794590102 39.89652634357446, 116.47229487632502 39.89652622326599, 116.47229486034297 39.896653798658456, 116.47233792992003 39.89665391896702, 116.47355466119495 39.89665733078301, 116.473554676653 39.89653387072963, 116.47233794590102 39.89652634357446)))","42",641.0,大望社区,双井街道,朝阳区,大望路,7198.526203386679,0.352545471326828
210583,"MULTIPOLYGON (((116.44891659445598 39.890380347855086, 116.44824951931099 39.89037889093756, 116.44824412674903 39.890481771655466, 116.44824412050896 39.890531159956915, 116.44891657521998 39.89053262856331, 116.44932005702502 39.890533516921316, 116.44932006326296 39.890484128620045, 116.44932007573902 39.89038535191243, 116.44891659445598 39.890380347855086)))","48",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
210631,"MULTIPOLYGON (((116.46131380063503 39.895027571893294, 116.461120043997 39.8950270767428, 116.46112002432199 39.895183462757515, 116.46131378096099 39.895183957907925, 116.46185199998705 39.89518533830772, 116.461852019657 39.89502895229318, 116.46131380063503 39.895027571893294)))","48",645.0,九龙南社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
210635,"MULTIPOLYGON (((116.44772166371096 39.89563329956834, 116.44753876326301 39.89563290593219, 116.44655435030502 39.89565138371647, 116.446554338337 39.89574603755679, 116.44655971127199 39.895795433498705, 116.44753874505705 39.89577694437612, 116.44772702547097 39.89577323422704, 116.44772702859203 39.89574854194203, 116.44772166371096 39.89563329956834)))","48",90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
210638,"MULTIPOLYGON (((116.47210646646202 39.89637342958677, 116.47190188732297 39.89637285924148, 116.47189645468899 39.89676380120624, 116.47210641748201 39.896764386550544, 116.47210646646202 39.89637342958677)))","48",641.0,大望社区,双井街道,朝阳区,大望路,7198.526203386679,0.352545471326828
210643,"MULTIPOLYGON (((116.47233789022297 39.89697079876711, 116.47223021635298 39.89697049805663, 116.47222481668302 39.89709805760293, 116.47233787424199 39.89709837334361, 116.47316158677404 39.89710479568591, 116.47316160275103 39.89697722111714, 116.47233789022297 39.89697079876711)))","48",641.0,大望社区,双井街道,朝阳区,大望路,7198.526203386679,0.352545471326828
210647,"MULTIPOLYGON (((116.472106404077 39.896871384915116, 116.47190182493297 39.89687081457001, 116.47190178007303 39.89722884636134, 116.47210635664302 39.89724999318998, 116.472106404077 39.896871384915116)))","48",641.0,大望社区,双井街道,朝阳区,大望路,7198.526203386679,0.352545471326828
210650,"MULTIPOLYGON (((116.44525778134998 39.89741414883888, 116.44525778967905 39.89734830428578, 116.44553749294298 39.897348884834805, 116.44554286355698 39.89741474057913, 116.44574726430601 39.89741516659311, 116.44574727367497 39.897341091466544, 116.44591940151103 39.897345566630165, 116.445989329544 39.897341597837226, 116.445989337872 39.89727575321387, 116.44591941035898 39.89727560672003, 116.44591941660501 39.89722622321164, 116.444956588154 39.897240684615355, 116.44495657461798 39.897347682147256, 116.44505339330998 39.89734788177264, 116.44505338445902 39.89741784160817, 116.44525778134998 39.89741414883888)))","48",644.0,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476149643,0.648177794464111
213479,"MULTIPOLYGON (((116.46113640054601 39.89335623490982, 116.46093188135998 39.89335159767966, 116.460937243247 39.893512116692676, 116.46103949104399 39.89360703422243, 116.461087929967 39.89360715782071, 116.46125477570999 39.893607584006375, 116.461249413767 39.89344706516833, 116.46113640054601 39.89335623490982)))","54",90603.0,九龙山社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
213481,"MULTIPOLYGON (((116.44186449012304 39.89327957491378, 116.44107930895798 39.89327394031761, 116.44107391285903 39.8934179732964, 116.44184833773002 39.893423586767334, 116.44184832730902 39.893505897088204, 116.44203118179098 39.89350625399666, 116.44219252525703 39.89350656993434, 116.44219250962705 39.89363003523312, 116.44219250650102 39.89365472826652, 116.44224090977404 39.89365482323366, 116.44224089727 39.89375359527976, 116.44242913324099 39.89375396541026, 116.44243452706398 39.893630510924964, 116.44243453071005 39.89360170237493, 116.44225167284404 39.893601342765606, 116.44225707548104 39.89340792417939, 116.44203657239103 39.89340749211576, 116.44203658229004 39.8933292972022, 116.44203120419404 39.893329286686345, 116.44186448386999 39.89332896122029, 116.44186449012304 39.89327957491378)))","54",90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
213486,"MULTIPOLYGON (((116.443133592608 39.89450849444072, 116.44312823403504 39.89435209626622, 116.44295612651001 39.894355868899716, 116.44295076381404 39.894232394190944, 116.44281630618501 39.89423212712769, 116.44281094300302 39.894112767704804, 116.442654972701 39.89411657424158, 116.44264961320496 39.89396840625419, 116.44248288763401 39.89397219250426, 116.44248824708698 39.89412036045044, 116.44261194674897 39.894116489172205, 116.44261730467196 39.89427700324189, 116.44281092268798 39.894273271154006, 116.44281628639 39.894388514839974, 116.44295612286298 39.89438467713782, 116.44296148503999 39.89451226703158, 116.443133592608 39.89450849444072)))","54",90600.0,富力西社区,双井街道,朝阳区,双井,5101.484808675549,0.580827236553192
213490,"MULTIPOLYGON (((116.45637875308202 39.89516342472211, 116.45637877382897 39.89499880783434, 116.45605589968804 39.89500214176054, 116.456055879458 39.895162643221376, 116.45637875308202 39.89516342472211)))","54",90602.0,东柏街社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
213493,"MULTIPOLYGON (((116.46212643612904 39.89565520103964, 116.46269158095303 39.89565254669632, 116.46285843492296 39.895652979549716, 116.46285845562001 39.89548836378398, 116.4626916016515 39.895487930930585, 116.462126456833 39.895490585283504, 116.46212643612904 39.89565520103964)))","54",645.0,九龙南社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
