id,geom_xq,fid,nm_xq,id_xq,lon_earth,lat_earth,lon_mars,lat_mars,id_county,nm_county,nm_shangqu,manage_com,bld_area,r_green,plot_ratio,dishang,dixia,n_parking,n_bld,n_hhld,year_built,fee,n_sale,n_rent,developer,price,yt_bieshu,yt_gongyu,yt_pingfan,yt_zhuzhai,yt_shangye,yt_shangzh,yt_siheyua,id_xq_old,id_beike,yt_unkow_1,area_beike,area_xq,area_ratio,avg_area,unit_rent,id_shp,id_shp2,id_shp,nm_village,nm_town,nm_county,nm_busi_in,dis_tam,area
5860,"MULTIPOLYGON (((116.44601156638078 39.89662127804963, 116.4460016009931 39.896133278927714, 116.44428198212779 39.896169723953676, 116.44428286616142 39.89710768267349, 116.44599947139852 39.89711423063727, 116.44601156638078 39.89662127804963)))",5860,双花园南里二区,108720,116.4451507,39.89663101,116.4513389,39.89799436,110105000,朝阳区,双井,北京市光环物业管理中心,12962,35,2,130,0,130,2,206,2002,1.6,6,2,北京金隅嘉业房地产开发公司,70638,0,1,0,1,1,0,0,4388,109517219,0,0.048428966,0.015692913,0.324039809,62.79434851,104,5859,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5862,"MULTIPOLYGON (((116.4495483274934 39.89763286156739, 116.44964260612142 39.89757207279297, 116.4496937658547 39.8974661911119, 116.44963775337965 39.896290119793264, 116.44959865355509 39.896194038024476, 116.44951843222998 39.89612186293368, 116.44939307662924 39.896089587164795, 116.44723398695896 39.89612788929071, 116.44714272915371 39.89616469224683, 116.4471046140867 39.896239607571886, 116.44711045068686 39.89766555642035, 116.4495483274934 39.89763286156739)))",5862,富力十号,101744,116.4483822,39.89688296,116.4545624,39.89824016,110105000,朝阳区,双井,北京恒富物业管理有限公司,100000,30,2.25,0,212,212,10,267,2012,13,22,3,北京富力城房地产开发有限公司,137168,1,0,0,1,1,0,0,9577,163451855,0,0.03714362,0.03714362,1,374.5318352,246,5861,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5863,"MULTIPOLYGON (((116.44432650306578 39.897678716199835, 116.44604447437302 39.89765016272486, 116.44605399189822 39.89720758296363, 116.44430746801527 39.89722661891341, 116.44432650306578 39.897678716199835)))",5863,CBD总部公寓三期,106128,116.4451799,39.8974402,116.4513682,39.89880354,110105000,朝阳区,双井,北京金海燕物业管理有限公司光环物业管理分公司,-1,-1,3,20,300,320,1,136,2008,3.6,-1,-1,北京金隅嘉业房地产开发公司,36571,0,0,0,0,1,0,0,12520,109505295,0,0.007353805,0.007353805,1,-1,-1,5862,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5864,"MULTIPOLYGON (((116.4438888012272 39.8973168739746, 116.44197184862195 39.897301063893046, 116.44193367330047 39.8979219612296, 116.44387067808941 39.89791780995904, 116.4438888012272 39.8973168739746)))",5864,双花园南里一区,108722,116.442911,39.89761492,116.4491046,39.89898235,110105000,朝阳区,双井,北京市光环物业管理中心,14979,25,3,90,0,90,4,310,2000,1.1,7,1,北京金隅嘉业房地产开发公司,60718,0,0,0,1,1,0,0,4387,109517223,0,0.0372922,0.011171746,0.299573272,48.30917874,81,5863,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5866,"MULTIPOLYGON (((116.43974744928539 39.899547621625516, 116.44160342875534 39.899740358031124, 116.44171764265514 39.89825557463513, 116.44196748601075 39.89648525559011, 116.44205711244581 39.895897925448935, 116.4407662552585 39.89578490045284, 116.44066512829306 39.897581393366636, 116.44052830903433 39.898580767688316, 116.44034390035074 39.8987294840785, 116.43980257323028 39.8987294840785, 116.43979786438001 39.89890199473132, 116.43974744928539 39.899547621625516)))",5866,双花园西里,106129,116.4410867,39.89789731,116.4472845,39.89926791,110105000,朝阳区,双井,北京金海燕物业管理有限公司光环物业管理分公司,-1,20,2.5,-1,-1,-1,14,1357,1997,0.6,28,8,北京金隅嘉业房地产开发公司,66906,0,0,0,1,0,0,0,4386,109517231,0,0.049084587,0.049084587,1,-1,100,5865,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5879,"MULTIPOLYGON (((116.45204861545132 39.897728498171716, 116.45196738148957 39.8976723139262, 116.45148896644275 39.89767322044281, 116.45060236890424 39.897678213478805, 116.44989130733802 39.89768362110226, 116.44986522430077 39.89774956029401, 116.4499182177516 39.89901462132775, 116.45203741979118 39.8990214148065, 116.45209560053162 39.89895855129617, 116.45204861545132 39.897728498171716)))",5879,合生国际花园,108725,116.4509827,39.89834745,116.4571563,39.89969949,110105000,朝阳区,双井,广东康景物业服务有限公司北京通州分公司,108609,38,3.4,516,244,760,12,1070,2008,2.99,23,9,北京合生绿洲房地产开发有限公司,89958,0,0,0,1,1,0,0,8833,109501075,0,0.051051241,0.027723195,0.543046447,101.4713343,122,5878,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5880,"MULTIPOLYGON (((116.4529551302751 39.89925452357744, 116.45295915653993 39.89914353824372, 116.45392206694989 39.89914579014618, 116.45392810499811 39.89898881078506, 116.45392111456785 39.89873980559758, 116.45391717373866 39.89817882199509, 116.45391221127954 39.89775782866093, 116.45387309976377 39.89770273889035, 116.45231741471696 39.897726116766925, 116.45223215179249 39.89780291707103, 116.45226210191458 39.898904936413714, 116.45227309073063 39.899253946212696, 116.4529551302751 39.89925452357744)))",5880,合生国际花园,108724,116.4530731,39.89845273,116.4592411,39.89980039,110105000,朝阳区,双井,广东康景物业服务有限公司北京通州分公司,91391,38,3.4,434,206,640,11,901,2008,2.99,19,7,北京合生绿洲房地产开发有限公司,89958,0,0,0,1,1,0,0,8833,109501075,0,0.051051241,0.023328046,0.456953553,101.4713343,122,5879,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5882,"MULTIPOLYGON (((116.45411049020697 39.899545641318355, 116.45500576260588 39.89955158943434, 116.45501765973722 39.89877529104689, 116.45408669504502 39.89880800838296, 116.45411049020697 39.899545641318355)))",5882,双花园南里,100085,116.454559,39.89916759,116.4607229,39.90051208,110105000,朝阳区,双井,北京市光环物业管理中心,9800,30,3,100,-1,100,5,410,1989,0.5,6,3,北京金隅嘉业房地产有限公司,62450,0,0,0,1,0,0,0,4389,109517215,0,0.0065591,0.0065591,1,23.90243902,110,5881,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5883,"MULTIPOLYGON (((116.45511649433081 39.900976540934664, 116.45509751593772 39.90034452348101, 116.45482066234376 39.90035286289435, 116.45484766628681 39.900979899003175, 116.45511649433081 39.900976540934664)))",5883,双花园,100805,116.4549707,39.90066188,116.4611336,39.90200554,110105000,朝阳区,双井,北京市光环物业管理中心,-1,-1,2.5,-1,-1,-1,2,68,1981,1.5,1,-1,北京金隅嘉业房地产开发公司,61925,0,0,0,1,0,0,0,4390,164695163,0,0.001630966,0.001630966,1,-1,-1,5882,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
5887,"MULTIPOLYGON (((116.44974386618651 39.897817287338, 116.44973083590946 39.89776126047383, 116.44969674171136 39.89772718606082, 116.44962253145468 39.897706022315106, 116.44717060723781 39.89774668066485, 116.44719254260178 39.89873968328982, 116.44842698441789 39.89883534327652, 116.44893441159388 39.89891644953457, 116.44982194172928 39.899003407681164, 116.44974386618651 39.897817287338)))",5887,CBD总部公寓二期,101745,116.44854,39.89829921,116.45472,39.89965616,110105000,朝阳区,双井,北京金海燕物业管理有限公司光环物业管理分公司,100000,30,4.41,150,400,550,6,992,2005,3.4,26,6,北京金隅嘉业房地产开发公司,90680,0,0,0,1,1,0,0,12521,109505291,0,0.027946514,0.027946514,1,100.8064516,113,5886,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
